Feature,Importance
MissedEMIs,0.22491305037227416
LatePayments,0.1888749816289721
CreditScore,0.18467387933465917
ExistingLoans,0.18247934800833715
MonthlyIncome,0.11837638700171046
AnnualIncome,0.10068235365404694
Occupation,0.0
MaritalStatus,0.0
Gender,0.0
Age,0.0
Education,0.0
Savings,0.0
MonthlyExpenses,0.0
LoanAmount,0.0
LoanPurpose,0.0
LoanTenure,0.0
CreditCardLimit,0.0
CreditCardUsage,0.0
Investments,0.0
ExistingEMI,0.0
EmploymentYears,0.0
OnlineTransactions,0.0
TransactionsPerMonth,0.0
CreditUtilization,0.0
ATMWithdrawals,0.0
PropertyValue,0.0
Dependents,0.0
Region,0.0
BankBalance,0.0
CityTier,0.0
PreviousDefaults,0.0
DisposableIncome,0.0
EMIRatio,0.0
SavingRatio,0.0
DebtToIncomeRatio,0.0
Networth,0.0
CreditUtilizationRatio,0.0
